"","name","sq_mi","X","adm1","iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"53","Arizona","113,990",53,3,"USA",2003,11021.7576831886,2050961.36354783
"54","Arizona","113,990",54,3,"USA",2002,55058.8958470922,8541265.74508247
"55","Arizona","113,990",55,3,"USA",2007,3074.93761849733,852352.563544643
"56","Arizona","113,990",56,3,"USA",2011,48466.4465887044,9981224.42276939
"57","Arizona","113,990",57,3,"USA",2015,3858.69829764714,1045955.23891516
"58","Arizona","113,990",58,3,"USA",2019,11150.2933798319,2610548.70357783
"59","Arizona","113,990",59,3,"USA",2008,4707.84018800938,1194715.60821589
"60","Arizona","113,990",60,3,"USA",2012,5318.86893947629,1210954.14295113
"61","Arkansas","53,179",61,4,"USA",2009,90059.9924381012,36654064.5503289
"62","Arkansas","53,179",62,4,"USA",2013,78250.979795798,36786423.7716948
"63","Arkansas","53,179",63,4,"USA",2006,124434.226028649,47978069.8327775
"64","Arkansas","53,179",64,4,"USA",2002,91845.8762624226,31377227.1893859
"65","Arkansas","53,179",65,4,"USA",2014,79003.8837345696,39113846.0322409
"66","Arkansas","53,179",66,4,"USA",2017,92087.9373100105,48432019.7683812
"67","Arkansas","53,179",67,4,"USA",2018,82990.0962605456,44947982.062794
"68","Arkansas","53,179",68,4,"USA",2007,117985.616719074,45068988.814365
"69","Arkansas","53,179",69,4,"USA",2016,90368.6748087068,46343443.4047283
"70","Arkansas","53,179",70,4,"USA",2011,87012.0089795006,37499320.8793415
"71","Arkansas","53,179",71,4,"USA",2020,59608.1839543394,31991713.7577671
"72","Arkansas","53,179",72,4,"USA",2015,73699.9897293885,37213291.4132437
"73","Arkansas","53,179",73,4,"USA",2005,104885.817751621,39453947.3829811
"74","Arkansas","53,179",74,4,"USA",2019,74510.5075027735,39187753.5196844
"75","Arkansas","53,179",75,4,"USA",2003,78532.1107463012,27629843.6179509
"76","Arkansas","53,179",76,4,"USA",2004,116520.289557793,42643657.8516284
"77","Arkansas","53,179",77,4,"USA",2012,93305.8917412099,39778658.1007085
"78","Arkansas","53,179",78,4,"USA",2010,110832.139599506,46361757.3409363
"79","Arkansas","53,179",79,4,"USA",2001,115545.463172974,37363704.5831231
"80","Arkansas","53,179",80,4,"USA",2008,92088.9837025638,36673740.5665986
"81","California","163,695",81,5,"USA",2014,110649.551447884,67900616.94145
"82","California","163,695",82,5,"USA",2002,68574.1961835218,40390242.5633662
"83","California","163,695",83,5,"USA",2019,125532.101481509,77523623.0138773
"84","California","163,695",84,5,"USA",2018,194574.778470853,94389408.463474
"85","California","163,695",85,5,"USA",2004,66689.4461984511,43215821.1731426
"86","California","163,695",86,5,"USA",2020,321823.611401985,158942351.940826
"87","California","163,695",87,5,"USA",2016,163421.977448067,106936816.447788
"88","California","163,695",88,5,"USA",2005,47175.0046505806,40269046.2627278
"89","California","163,695",89,5,"USA",2001,52197.7698510582,38019014.6139652
"90","California","163,695",90,5,"USA",2009,114222.080518913,63086410.764516
"91","California","163,695",91,5,"USA",2003,61290.1048599321,34638763.0792363
"92","California","163,695",92,5,"USA",2013,52022.7803930279,31031075.3776098
"93","California","163,695",93,5,"USA",2010,35659.936441028,34950894.5594009
"94","California","163,695",94,5,"USA",2017,162613.483568578,85814782.2115548
"95","California","163,695",95,5,"USA",2011,32838.2692286806,30528667.801848
"96","California","163,695",96,5,"USA",2007,136811.834382314,66616855.0074662
"97","California","163,695",97,5,"USA",2012,61049.8034037154,40159331.3874685
"98","California","163,695",98,5,"USA",2006,86059.8227091391,50612833.5857445
"99","California","163,695",99,5,"USA",2015,83419.7847535576,45548210.7293019
"100","California","163,695",100,5,"USA",2008,214408.045184647,119800863.886021
"101","Colorado","104,094",101,6,"USA",2009,7191.78125698982,2391340.93030304
"102","Colorado","104,094",102,6,"USA",2005,22599.6106659391,7848371.757767
"103","Colorado","104,094",103,6,"USA",2010,22440.6655328518,8266449.60736341
"104","Colorado","104,094",104,6,"USA",2017,9004.09120611271,2530095.06906974
"105","Colorado","104,094",105,6,"USA",2002,44736.1422097867,9064285.29461989
"106","Colorado","104,094",106,6,"USA",2013,22457.4430423223,5551203.55950912
"107","Colorado","104,094",107,6,"USA",2006,9475.83767031007,3068065.98766676
"108","Colorado","104,094",108,6,"USA",2003,12435.4170988446,4257646.47275593
"109","Colorado","104,094",109,6,"USA",2018,31348.8253064594,6435625.16682584
"110","Colorado","104,094",110,6,"USA",2007,62213.2652566577,24372251.7295655
"111","Colorado","104,094",111,6,"USA",2014,9253.80846989078,3292730.43241752
"112","Colorado","104,094",112,6,"USA",2011,10406.702237726,3741285.88263529
"113","Colorado","104,094",113,6,"USA",2020,45940.1252634594,9253670.97385524
"114","Colorado","104,094",114,6,"USA",2015,6077.2287820493,2452176.47939463
"115","Colorado","104,094",115,6,"USA",2012,28062.66442336,6556486.29424872
"116","Colorado","104,094",116,6,"USA",2019,18475.1382495699,5279831.88230636
"117","Colorado","104,094",117,6,"USA",2008,23969.3303846182,9054231.69930781
"118","Colorado","104,094",118,6,"USA",2004,16301.4774996245,5668978.49907478
"119","Colorado","104,094",119,6,"USA",2016,8550.43685327826,2031775.62677449
"120","Colorado","104,094",120,6,"USA",2001,13957.5914962814,5062483.92776499
"121","Connecticut","5,543",121,7,"USA",2015,788.531191126222,299828.508981364
"122","Connecticut","5,543",122,7,"USA",2019,1312.65005538809,517268.028560403
"123","Connecticut","5,543",123,7,"USA",2018,1415.74151570932,571493.419401764
"124","Connecticut","5,543",124,7,"USA",2014,775.174120277669,280302.505381885
"125","Connecticut","5,543",125,7,"USA",2016,1749.16585821419,664704.257518648
"126","Connecticut","5,543",126,7,"USA",2017,2135.04827861092,838609.302831013
