"","adm1","iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg","name"
"64",4,"USA",2002,91845.8762624226,31377227.1893859,"Arkansas"
"65",4,"USA",2014,79003.8837345696,39113846.0322409,"Arkansas"
"66",4,"USA",2017,92087.9373100105,48432019.7683812,"Arkansas"
"67",4,"USA",2018,82990.0962605456,44947982.062794,"Arkansas"
"68",4,"USA",2007,117985.616719074,45068988.814365,"Arkansas"
"69",4,"USA",2016,90368.6748087068,46343443.4047283,"Arkansas"
"70",4,"USA",2011,87012.0089795006,37499320.8793415,"Arkansas"
"71",4,"USA",2020,59608.1839543394,31991713.7577671,"Arkansas"
"72",4,"USA",2015,73699.9897293885,37213291.4132437,"Arkansas"
"73",4,"USA",2005,104885.817751621,39453947.3829811,"Arkansas"
"74",4,"USA",2019,74510.5075027735,39187753.5196844,"Arkansas"
"75",4,"USA",2003,78532.1107463012,27629843.6179509,"Arkansas"
"76",4,"USA",2004,116520.289557793,42643657.8516284,"Arkansas"
"77",4,"USA",2012,93305.8917412099,39778658.1007085,"Arkansas"
"78",4,"USA",2010,110832.139599506,46361757.3409363,"Arkansas"
"79",4,"USA",2001,115545.463172974,37363704.5831231,"Arkansas"
"80",4,"USA",2008,92088.9837025638,36673740.5665986,"Arkansas"
"81",5,"USA",2014,110649.551447884,67900616.94145,"California"
"82",5,"USA",2002,68574.1961835218,40390242.5633662,"California"
"83",5,"USA",2019,125532.101481509,77523623.0138773,"California"
"84",5,"USA",2018,194574.778470853,94389408.463474,"California"
"85",5,"USA",2004,66689.4461984511,43215821.1731426,"California"
"86",5,"USA",2020,321823.611401985,158942351.940826,"California"
"87",5,"USA",2016,163421.977448067,106936816.447788,"California"
"88",5,"USA",2005,47175.0046505806,40269046.2627278,"California"
"89",5,"USA",2001,52197.7698510582,38019014.6139652,"California"
"90",5,"USA",2009,114222.080518913,63086410.764516,"California"
"91",5,"USA",2003,61290.1048599321,34638763.0792363,"California"
"92",5,"USA",2013,52022.7803930279,31031075.3776098,"California"
"93",5,"USA",2010,35659.936441028,34950894.5594009,"California"
"94",5,"USA",2017,162613.483568578,85814782.2115548,"California"
"95",5,"USA",2011,32838.2692286806,30528667.801848,"California"
"96",5,"USA",2007,136811.834382314,66616855.0074662,"California"
"97",5,"USA",2012,61049.8034037154,40159331.3874685,"California"
"98",5,"USA",2006,86059.8227091391,50612833.5857445,"California"
"99",5,"USA",2015,83419.7847535576,45548210.7293019,"California"
"100",5,"USA",2008,214408.045184647,119800863.886021,"California"
"101",6,"USA",2009,7191.78125698982,2391340.93030304,"Colorado"
"102",6,"USA",2005,22599.6106659391,7848371.757767,"Colorado"
"103",6,"USA",2010,22440.6655328518,8266449.60736341,"Colorado"
"104",6,"USA",2017,9004.09120611271,2530095.06906974,"Colorado"
"105",6,"USA",2002,44736.1422097867,9064285.29461989,"Colorado"
"106",6,"USA",2013,22457.4430423223,5551203.55950912,"Colorado"
"107",6,"USA",2006,9475.83767031007,3068065.98766676,"Colorado"
"108",6,"USA",2003,12435.4170988446,4257646.47275593,"Colorado"
"109",6,"USA",2018,31348.8253064594,6435625.16682584,"Colorado"
"110",6,"USA",2007,62213.2652566577,24372251.7295655,"Colorado"
"111",6,"USA",2014,9253.80846989078,3292730.43241752,"Colorado"
"112",6,"USA",2011,10406.702237726,3741285.88263529,"Colorado"
"113",6,"USA",2020,45940.1252634594,9253670.97385524,"Colorado"
"114",6,"USA",2015,6077.2287820493,2452176.47939463,"Colorado"
"115",6,"USA",2012,28062.66442336,6556486.29424872,"Colorado"
"116",6,"USA",2019,18475.1382495699,5279831.88230636,"Colorado"
"117",6,"USA",2008,23969.3303846182,9054231.69930781,"Colorado"
"118",6,"USA",2004,16301.4774996245,5668978.49907478,"Colorado"
"119",6,"USA",2016,8550.43685327826,2031775.62677449,"Colorado"
"120",6,"USA",2001,13957.5914962814,5062483.92776499,"Colorado"
"121",7,"USA",2015,788.531191126222,299828.508981364,"Connecticut"
"122",7,"USA",2019,1312.65005538809,517268.028560403,"Connecticut"
"123",7,"USA",2018,1415.74151570932,571493.419401764,"Connecticut"
"124",7,"USA",2014,775.174120277669,280302.505381885,"Connecticut"
"125",7,"USA",2016,1749.16585821419,664704.257518648,"Connecticut"
"126",7,"USA",2017,2135.04827861092,838609.302831013,"Connecticut"
"127",7,"USA",2001,818.467207695719,251716.485043465,"Connecticut"
"128",7,"USA",2020,1274.55832887757,507717.838668964,"Connecticut"
"129",7,"USA",2009,604.205950245725,217469.2994137,"Connecticut"
"130",7,"USA",2004,1117.56081450893,372627.674529929,"Connecticut"
"131",7,"USA",2005,1240.73570591022,422004.629322577,"Connecticut"
"132",7,"USA",2010,946.817494674006,344309.77847828,"Connecticut"
"133",7,"USA",2003,673.481800282799,218950.355695115,"Connecticut"
"134",7,"USA",2008,949.269803150012,332154.545721914,"Connecticut"
"135",7,"USA",2013,586.403948568118,215631.88898332,"Connecticut"
"136",7,"USA",2007,1004.23637221658,344784.945120475,"Connecticut"
"137",7,"USA",2006,1356.69863614266,466554.91874289,"Connecticut"
"138",7,"USA",2011,500.407878208548,183071.763076055,"Connecticut"
"139",7,"USA",2002,1029.67024382955,327291.958081361,"Connecticut"
"140",7,"USA",2012,775.144959647552,293661.875137508,"Connecticut"
"141",8,"USA",2005,928.748452402974,332061.162981118,"Delaware"
"142",8,"USA",2020,605.859464871734,292581.248414595,"Delaware"
"143",8,"USA",2009,552.962707812982,213765.817971706,"Delaware"
"144",8,"USA",2013,433.682697029533,177066.827760681,"Delaware"
"145",8,"USA",2001,1204.60218155927,380861.481029863,"Delaware"
"146",8,"USA",2017,724.837858085887,310276.08892805,"Delaware"
"147",8,"USA",2003,444.972854429087,147342.921772557,"Delaware"
"148",8,"USA",2002,678.166812688574,223415.922038415,"Delaware"
"149",8,"USA",2010,603.314353149361,230681.695523445,"Delaware"
"150",8,"USA",2006,846.90213155308,304989.68912086,"Delaware"
"151",8,"USA",2011,348.042388751709,138946.453252947,"Delaware"
"152",8,"USA",2018,616.9307727253,287432.914855842,"Delaware"
"153",8,"USA",2007,960.505559923721,355239.361849722,"Delaware"
"154",8,"USA",2014,618.923979187478,268454.105548691,"Delaware"
"155",8,"USA",2019,858.776546505821,434014.202297396,"Delaware"
"156",8,"USA",2008,539.473535625258,205736.018277377,"Delaware"
"157",8,"USA",2015,624.76244761287,261197.210056974,"Delaware"
"158",8,"USA",2012,682.749284698628,274115.077532857,"Delaware"
"159",8,"USA",2016,860.850670861043,373604.604465717,"Delaware"
"160",8,"USA",2004,1194.62930766621,407771.880958682,"Delaware"
"161",9,"USA",2011,2.70941149089616,962.165971984633,"District of Columbia"
"162",9,"USA",2015,2.04667640626742,566.272937739339,"District of Columbia"
"163",9,"USA",2006,7.22071240091156,1724.08239968525,"District of Columbia"
"164",9,"USA",2014,0.962651876712279,316.103432331697,"District of Columbia"
"165",9,"USA",2018,0.240801309036462,86.8467335150077,"District of Columbia"
"166",9,"USA",2004,1.74574709816196,524.571374743408,"District of Columbia"
"167",9,"USA",2020,0.240732986230455,53.5978848685212,"District of Columbia"
"168",9,"USA",2016,5.8379482297162,2047.59551840344,"District of Columbia"
"169",9,"USA",2005,1.74592561446195,367.75069692365,"District of Columbia"
"170",9,"USA",2001,1.08333660101564,173.594640027916,"District of Columbia"
"171",9,"USA",2009,1.74491089226987,662.855508949748,"District of Columbia"
"172",9,"USA",2003,0.601834479652761,147.806559951983,"District of Columbia"
"173",9,"USA",2002,1.62646717754132,488.586632308428,"District of Columbia"
"174",9,"USA",2019,4.63629245426625,1875.37573975746,"District of Columbia"
"175",9,"USA",2017,2.2872409571919,606.056627563756,"District of Columbia"
"176",9,"USA",2008,3.49031570185097,1026.28787067519,"District of Columbia"
"177",9,"USA",2010,9.09398505324858,3005.71758349609,"District of Columbia"
"178",9,"USA",2012,10.7110472632365,3086.0435752538,"District of Columbia"
"179",9,"USA",2007,1.26372474881079,435.339003747053,"District of Columbia"
"180",10,"USA",2020,66127.9025577651,30171623.6234173,"Florida"
"181",10,"USA",2009,84790.9576661978,27996937.2501845,"Florida"
"182",10,"USA",2016,89665.423508913,39977587.746126,"Florida"
"183",10,"USA",2013,85146.7267304434,32412874.2270917,"Florida"
"184",10,"USA",2017,118550.721343058,53365665.1427143,"Florida"
"185",10,"USA",2018,114160.557987922,51565168.4785119,"Florida"
"186",10,"USA",2002,91602.6420448121,25705913.2500175,"Florida"
"187",10,"USA",2005,107954.385768418,31890671.3798894,"Florida"
"188",10,"USA",2006,118229.253465267,35944981.2296586,"Florida"
"189",10,"USA",2001,105685.966063168,28251015.5130225,"Florida"
"190",10,"USA",2004,115736.7919248,33466523.1141864,"Florida"
"191",10,"USA",2007,111744.196435515,33961714.4247313,"Florida"
"192",10,"USA",2014,76683.6928208064,32091830.0590532,"Florida"
"193",10,"USA",2003,93854.9642160584,27153587.5569955,"Florida"
"194",10,"USA",2008,101176.271619228,32415728.6712492,"Florida"
"195",10,"USA",2015,71991.2387339459,32148685.9990571,"Florida"
"196",10,"USA",2010,92909.2639169796,31744626.6886332,"Florida"
"197",10,"USA",2011,87923.1638511613,30937974.3955555,"Florida"
"198",10,"USA",2012,115149.80548585,42363570.487674,"Florida"
"199",10,"USA",2019,103555.127061385,48051625.8803204,"Florida"
"200",11,"USA",2013,148510.232736798,68692451.9641468,"Georgia"
"201",11,"USA",2002,160671.988145974,52556835.9590227,"Georgia"
"202",11,"USA",2006,185349.005226343,68289602.5160925,"Georgia"
"203",11,"USA",2018,150175.61563455,81816528.5749162,"Georgia"
"204",11,"USA",2007,200104.016189148,72505872.0326265,"Georgia"
"205",11,"USA",2014,159348.041055261,76759912.3932868,"Georgia"
"206",11,"USA",2019,147007.664212691,80341860.2476483,"Georgia"
"207",11,"USA",2009,130373.188969685,52194463.2443658,"Georgia"
"208",11,"USA",2004,174783.467582713,61183495.8518886,"Georgia"
"209",11,"USA",2012,194741.028562036,81414181.919935,"Georgia"
"210",11,"USA",2016,173459.032365993,90160963.2963117,"Georgia"
"211",11,"USA",2011,182227.212042876,72102156.8319919,"Georgia"
"212",11,"USA",2001,164231.664667241,51237000.959853,"Georgia"
"213",11,"USA",2020,122622.775757183,69032480.3135919,"Georgia"
"214",11,"USA",2015,143697.087621679,73767941.2408501,"Georgia"
"215",11,"USA",2005,172087.366438755,61583810.8560881,"Georgia"
"216",11,"USA",2010,166734.10705245,67972915.7272186,"Georgia"
"217",11,"USA",2017,220051.48762329,119329392.948287,"Georgia"
"218",11,"USA",2003,140568.567556616,47561724.498939,"Georgia"
"219",11,"USA",2008,171906.112399431,66697815.0476594,"Georgia"
"220",12,"USA",2005,616.555857100043,249768.980983368,"Hawaii"
"221",12,"USA",2014,1083.61274337636,523460.989755482,"Hawaii"
"222",12,"USA",2009,467.550519570396,222249.958006664,"Hawaii"
"223",12,"USA",2013,435.43996831878,190033.634419575,"Hawaii"
"224",12,"USA",2002,699.971343258222,273395.29293709,"Hawaii"
"225",12,"USA",2016,1691.18847101727,774982.83694159,"Hawaii"
"226",12,"USA",2017,1219.28876442015,566946.234537876,"Hawaii"
"227",12,"USA",2020,856.74867112511,415395.89637745,"Hawaii"
"228",12,"USA",2018,2156.95436035256,1111440.75734286,"Hawaii"
"229",12,"USA",2010,571.365528706634,246827.640968225,"Hawaii"
"230",12,"USA",2006,501.837942364939,208380.76301765,"Hawaii"
"231",12,"USA",2003,866.937867016653,315455.586820923,"Hawaii"
"232",12,"USA",2001,626.539166479727,233980.662700811,"Hawaii"
"233",12,"USA",2007,822.796691086049,340938.265874374,"Hawaii"
"234",12,"USA",2019,1201.90551250631,594849.730454662,"Hawaii"
"235",12,"USA",2011,268.03448271257,119376.790752083,"Hawaii"
"236",12,"USA",2008,661.378058367845,314283.969935719,"Hawaii"
"237",12,"USA",2015,1817.72971522097,848056.986379087,"Hawaii"
"238",12,"USA",2012,899.37280334191,401472.962453661,"Hawaii"
"239",12,"USA",2004,727.590931292585,298655.624632829,"Hawaii"
"240",13,"USA",2017,80541.2550912584,27304889.4017008,"Idaho"
"241",13,"USA",2013,80825.4863837931,23455433.5728479,"Idaho"
"242",13,"USA",2002,32386.5537259318,12146951.4769131,"Idaho"
"243",13,"USA",2014,53721.993268102,18240285.3694935,"Idaho"
"244",13,"USA",2003,38115.7095692542,12020131.5072165,"Idaho"
"245",13,"USA",2018,62614.6765502371,22668778.2598135,"Idaho"
"246",13,"USA",2015,46955.9472356277,16260073.0996898,"Idaho"
"247",13,"USA",2005,41496.2536401219,14543929.6871019,"Idaho"
"248",13,"USA",2019,44510.7642314448,18842344.771847,"Idaho"
"249",13,"USA",2008,119977.755601274,36386373.1005113,"Idaho"
"250",13,"USA",2004,56255.2656782514,21999559.1160543,"Idaho"
"251",13,"USA",2007,151656.044778721,38097097.9658401,"Idaho"
"252",13,"USA",2016,100125.843525526,32085111.2547031,"Idaho"
"253",13,"USA",2006,64520.7291651529,21342812.1380858,"Idaho"
"254",13,"USA",2001,82913.6660706932,34088828.5352392,"Idaho"
"255",13,"USA",2020,38232.4172578547,14713265.7027145,"Idaho"
"256",13,"USA",2009,25548.1630777874,10794424.0794198,"Idaho"
"257",13,"USA",2010,35175.1664406234,14671631.5807474,"Idaho"
"258",13,"USA",2011,34922.3260925465,13570845.7797509,"Idaho"
"259",13,"USA",2012,97776.3317692103,27146839.3632991,"Idaho"
"260",14,"USA",2020,1278.25315704644,380824.000675142,"Illinois"
"261",14,"USA",2005,762.833568291828,221750.060553163,"Illinois"
"262",14,"USA",2009,1260.76148602002,397368.410489352,"Illinois"
"263",14,"USA",2002,710.98688381984,197029.967777229,"Illinois"
"264",14,"USA",2001,959.695319467302,266223.741948212,"Illinois"
"265",14,"USA",2017,2987.45587616385,872259.782004574,"Illinois"
"266",14,"USA",2013,2418.5190998518,583666.095647454,"Illinois"
"267",14,"USA",2015,879.074605612755,239896.511685975,"Illinois"
"268",14,"USA",2010,630.102712654422,186967.331453312,"Illinois"
"269",14,"USA",2006,688.127749761708,191617.426235942,"Illinois"
"270",14,"USA",2003,634.034630796556,182347.397779038,"Illinois"
"271",14,"USA",2018,2112.76704047761,612727.586094761,"Illinois"
"272",14,"USA",2007,763.370253872494,230210.727306783,"Illinois"
"273",14,"USA",2014,1085.50204181393,284216.12712621,"Illinois"
"274",14,"USA",2011,728.945198092649,221628.658117624,"Illinois"
"275",14,"USA",2008,738.567723050203,218527.733938598,"Illinois"
"276",14,"USA",2004,590.723017699403,162788.298846419,"Illinois"
"277",14,"USA",2016,1467.18638814275,420177.637600668,"Illinois"
"278",14,"USA",2019,1123.78520607842,328713.868610892,"Illinois"
"279",14,"USA",2012,1421.85036968996,415654.023982724,"Illinois"
"280",15,"USA",2013,2304.44597669538,692631.753454445,"Indiana"
"281",15,"USA",2018,2153.7930042886,715741.436119129,"Indiana"
"282",15,"USA",2006,1100.33191386151,316072.493718878,"Indiana"
"283",15,"USA",2017,3322.78565526163,1120215.62542152,"Indiana"
"284",15,"USA",2020,1945.31537956415,670170.852868956,"Indiana"
"285",15,"USA",2015,1452.37584561301,471182.87111015,"Indiana"
"286",15,"USA",2014,1395.41884329575,459474.093910347,"Indiana"
"287",15,"USA",2011,1353.39115992268,436911.38643482,"Indiana"
"288",15,"USA",2003,499.032808727297,134228.832529986,"Indiana"
"289",15,"USA",2004,1060.99612874825,306981.582792448,"Indiana"
"290",15,"USA",2002,485.795447915895,125465.241770718,"Indiana"
"291",15,"USA",2019,1813.81213799287,621584.188056859,"Indiana"
"292",15,"USA",2005,952.083799098287,270120.018409855,"Indiana"
"293",15,"USA",2001,533.538530335794,136857.682004198,"Indiana"
"294",15,"USA",2009,1184.79020987121,365701.168941527,"Indiana"
"295",15,"USA",2016,2661.05099903511,884766.061247147,"Indiana"
"296",15,"USA",2007,1298.94292490841,381494.571530067,"Indiana"
"297",15,"USA",2010,898.379330835667,281977.419816428,"Indiana"
"298",15,"USA",2008,1278.71928452716,384542.603307689,"Indiana"
"299",15,"USA",2012,1945.81334951284,638668.176038951,"Indiana"
"300",16,"USA",2020,2002.09287875123,665011.175413289,"Iowa"
"301",16,"USA",2013,982.339124989433,212541.853748343,"Iowa"
"302",16,"USA",2004,280.956686286002,64130.7646841721,"Iowa"
"303",16,"USA",2009,243.180267717877,61552.1023308081,"Iowa"
"304",16,"USA",2016,474.363121529862,118030.864841262,"Iowa"
"305",16,"USA",2018,1075.20660122571,283539.638621444,"Iowa"
"306",16,"USA",2001,209.735518850265,46423.1610097158,"Iowa"
"307",16,"USA",2017,914.261324611525,229220.490802822,"Iowa"
"308",16,"USA",2003,119.555518239109,26011.5389304009,"Iowa"
"309",16,"USA",2005,212.245461817354,48264.1977235834,"Iowa"
"310",16,"USA",2010,268.605142201922,70096.8369930921,"Iowa"
"311",16,"USA",2006,272.406388375049,64229.7170031752,"Iowa"
"312",16,"USA",2011,377.329994529242,97252.4149740012,"Iowa"
"313",16,"USA",2002,161.245085677503,35779.4230541407,"Iowa"
"314",16,"USA",2007,305.390077882464,71910.6084347195,"Iowa"
"315",16,"USA",2014,1022.01578116608,240667.258060891,"Iowa"
"316",16,"USA",2019,660.179398306187,179086.400015751,"Iowa"
"317",16,"USA",2008,270.659658785448,66384.287994176,"Iowa"
"318",16,"USA",2015,290.521891336915,72417.7393672919,"Iowa"
"319",16,"USA",2012,628.129022055231,157142.656780677,"Iowa"
"320",17,"USA",2009,459.761716357917,95529.3714690511,"Kansas"
"321",17,"USA",2013,1498.59472213792,289575.176319462,"Kansas"
"322",17,"USA",2002,501.97351235384,90892.5050439784,"Kansas"
"323",17,"USA",2007,732.448205317454,150192.3249736,"Kansas"
"324",17,"USA",2006,478.573560206933,95956.0461010586,"Kansas"
"325",17,"USA",2011,511.749722367872,108533.283631775,"Kansas"
"326",17,"USA",2018,748.786715786046,161913.810332833,"Kansas"
"327",17,"USA",2015,541.683618635582,110874.732091646,"Kansas"
"328",17,"USA",2014,1410.07402710858,289516.252945988,"Kansas"
"329",17,"USA",2019,494.496772048713,116017.109201337,"Kansas"
"330",17,"USA",2017,1056.76523865745,223926.877719632,"Kansas"
"331",17,"USA",2004,638.392293763973,121328.810159882,"Kansas"
"332",17,"USA",2012,619.579784868188,130373.968608537,"Kansas"
"333",17,"USA",2016,1090.84577246451,215805.620071091,"Kansas"
"334",17,"USA",2005,535.869088109738,103038.1939484,"Kansas"
"335",17,"USA",2001,774.470141522272,137357.306757736,"Kansas"
"336",17,"USA",2020,1009.43123097105,258203.741125577,"Kansas"
"337",17,"USA",2008,735.8898898643,150345.150511657,"Kansas"
"338",17,"USA",2010,401.152964919746,85145.6110701569,"Kansas"
"339",17,"USA",2003,295.410324362816,56581.531699239,"Kansas"
"340",18,"USA",2019,8487.31993171922,3156198.16305941,"Kentucky"
"341",18,"USA",2014,9391.79356275634,3308529.98764137,"Kentucky"
"342",18,"USA",2016,19460.0559825428,7040505.623079,"Kentucky"
"343",18,"USA",2013,8063.305740827,2665339.84610867,"Kentucky"
"344",18,"USA",2018,10297.6770661207,3830619.44148013,"Kentucky"
"345",18,"USA",2020,8507.61950066632,3197973.06271877,"Kentucky"
"346",18,"USA",2004,13810.251232291,4487090.29799568,"Kentucky"
"347",18,"USA",2005,15521.2782211484,5153341.6766419,"Kentucky"
"348",18,"USA",2010,14130.3506382972,4946059.1699095,"Kentucky"
"349",18,"USA",2009,12423.8363750667,4314305.35463445,"Kentucky"
"350",18,"USA",2001,12594.677932431,3917047.19538375,"Kentucky"
"351",18,"USA",2002,8477.51015051246,2660674.40205119,"Kentucky"
"352",18,"USA",2007,18291.9926057022,6178692.71921352,"Kentucky"
"353",18,"USA",2017,17463.6289339338,6321296.48311726,"Kentucky"
"354",18,"USA",2003,8951.06004216553,2933569.72248928,"Kentucky"
"355",18,"USA",2008,17695.3697395382,6066873.41528972,"Kentucky"
"356",18,"USA",2015,10563.3606425594,3781422.39920127,"Kentucky"
"357",18,"USA",2006,14386.1983410918,4761306.59870515,"Kentucky"
"358",18,"USA",2011,9639.61901219034,3388442.53471888,"Kentucky"
"359",18,"USA",2012,13030.9867602354,4617623.93274756,"Kentucky"
"360",19,"USA",2013,82065.723637404,43667093.5951967,"Louisiana"
"361",19,"USA",2005,125943.478539152,49099026.4702222,"Louisiana"
"362",19,"USA",2017,86684.9398257715,50473067.6190047,"Louisiana"
"363",19,"USA",2009,92605.9894209258,39909545.2664446,"Louisiana"
"364",19,"USA",2002,96507.8329419405,34325546.8395288,"Louisiana"
"365",19,"USA",2010,106701.667153344,47699787.8879039,"Louisiana"
"366",19,"USA",2014,86691.8324258938,47753919.9203525,"Louisiana"
"367",19,"USA",2003,88509.574465164,32641795.5031745,"Louisiana"
"368",19,"USA",2018,76347.012549329,44851674.4848623,"Louisiana"
"369",19,"USA",2007,116815.975612321,49155326.6838079,"Louisiana"
"370",19,"USA",2012,98515.1617118016,45767052.0960107,"Louisiana"
"371",19,"USA",2006,120532.330808937,48923786.0349661,"Louisiana"
"372",19,"USA",2008,106081.864402322,44930627.5486808,"Louisiana"
"373",19,"USA",2015,78398.9809530839,44023076.0295986,"Louisiana"
"374",19,"USA",2020,69394.5041811181,41250406.252859,"Louisiana"
"375",19,"USA",2019,69121.521467212,40878114.2195974,"Louisiana"
"376",19,"USA",2011,91872.2092563933,41211140.204553,"Louisiana"
"377",19,"USA",2004,115126.551167567,44091617.4244789,"Louisiana"
"378",19,"USA",2016,82872.0038314752,47410995.4689475,"Louisiana"
"379",19,"USA",2001,102374.86659101,34917798.0838906,"Louisiana"
"380",20,"USA",2015,46084.5631325807,14430130.3873537,"Maine"
"381",20,"USA",2014,44011.8387221704,13620375.6853179,"Maine"
"382",20,"USA",2013,40365.9651112277,12140960.3570217,"Maine"
"383",20,"USA",2001,44453.8844292457,11381537.7818666,"Maine"
"384",20,"USA",2020,58987.8757593859,19538413.5228827,"Maine"
"385",20,"USA",2018,63496.0085581339,20873689.8964131,"Maine"
"386",20,"USA",2005,51147.3487169335,14176781.0948051,"Maine"
"387",20,"USA",2019,56985.8005429731,18907437.8765683,"Maine"
"388",20,"USA",2009,42331.4232021389,12376825.7738099,"Maine"
"389",20,"USA",2003,29402.0473906466,7879133.46128364,"Maine"
"390",20,"USA",2002,46017.2481268022,11704792.4132986,"Maine"
"391",20,"USA",2016,60127.0903012309,18891077.35483,"Maine"
"392",20,"USA",2017,61617.4689674106,19928659.9998358,"Maine"
"393",20,"USA",2011,28155.2093969274,8655185.34400783,"Maine"
"394",20,"USA",2004,49532.0458256082,13537925.7014303,"Maine"
"395",20,"USA",2010,42049.9032497249,12600982.6909413,"Maine"
"396",20,"USA",2006,46708.3674320659,13131726.3729147,"Maine"
"397",20,"USA",2008,56464.8687907149,16012221.4774593,"Maine"
"398",20,"USA",2007,45592.4593347104,13168968.6793519,"Maine"
"399",20,"USA",2012,47913.8381568604,14636353.8075836,"Maine"
"400",21,"USA",2020,2970.7109639437,1399995.62767467,"Maryland"
"401",21,"USA",2017,3533.1696989601,1535222.86824548,"Maryland"
"402",21,"USA",2013,1714.67270134094,670962.279314562,"Maryland"
"403",21,"USA",2018,2378.63437369789,1029479.0401316,"Maryland"
"404",21,"USA",2005,4222.92023402877,1441654.94353981,"Maryland"
"405",21,"USA",2006,4583.17920721946,1545482.31932863,"Maryland"
