"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",1,2001,176807.15511181095,54443220.84923567
"USA",2,2001,91296.24625652054,11426495.726940153
"USA",3,2001,1411.1861607073777,449310.74145279365
"USA",4,2001,115545.46317297353,37363704.58312307
"USA",5,2001,52197.769851058154,38019014.613965176
"USA",6,2001,13957.591496281353,5062483.927764989
"USA",7,2001,818.4672076957189,251716.48504346472
"USA",8,2001,1204.6021815592662,380861.4810298626
"USA",9,2001,1.0833366010156404,173.59464002791628
"USA",10,2001,105685.96606316828,28251015.513022453
"USA",11,2001,164231.66466724075,51237000.959852956
"USA",12,2001,626.539166479727,233980.66270081073
"USA",13,2001,82913.66607069323,34088828.53523925
"USA",14,2001,959.6953194673016,266223.7419482115
"USA",15,2001,533.5385303357945,136857.68200419826
"USA",16,2001,209.735518850265,46423.16100971575
"USA",17,2001,774.4701415222717,137357.30675773582
"USA",18,2001,12594.677932431006,3917047.195383746
"USA",19,2001,102374.86659101048,34917798.08389063
"USA",20,2001,44453.8844292457,11381537.781866621
"USA",21,2001,4364.719765873069,1400914.6112239226
"USA",22,2001,2112.0249351714665,674768.6929504987
"USA",23,2001,21328.687706468147,4233919.099010434
"USA",24,2001,30038.76080166501,5218568.743358947
"USA",25,2001,132546.3717799041,41236954.72435075
"USA",26,2001,15980.810789326231,4042475.998677071
"USA",27,2001,116797.16292395678,42125199.90291269
"USA",28,2001,220.1872756223697,47878.19138614164
"USA",29,2001,1112.7280798665322,638073.2424933513
"USA",30,2001,6904.0349631534555,2189144.255860277
"USA",31,2001,2023.67313423317,513250.737791914
"USA",32,2001,3865.7848574554523,1359805.5565785626
"USA",33,2001,6224.5665295127,1746510.7408072294
"USA",34,2001,92994.81042863507,27122324.55940321
"USA",35,2001,321.9354899398064,49392.633819877046
"USA",36,2001,5680.23851753904,1724393.978965703
"USA",37,2001,25273.268726781134,6238587.272859783
"USA",38,2001,66707.2614785177,55215112.63558055
"USA",39,2001,7965.047992319686,2340255.1224154127
"USA",40,2001,272.1274185706567,80401.34728873198
"USA",41,2001,83795.77683349318,26787470.053939022
"USA",42,2001,10293.86418163271,2815664.7198395166
"USA",43,2001,42768.979653269416,13267134.36227559
"USA",44,2001,111298.276662527,30904636.09192202
"USA",45,2001,4958.883447658094,1543209.0713217873
"USA",46,2001,2795.662003863513,843724.2248991865
